Stage 1) Random starting synaptic weights: 
Layer 0 (4 neurons, each with 4 inputs):

[[0.22061374344252072, -0.16543507594704382, 1.21538559350389, -0.12604606480153846],
 [0.05480492078909139, 0.7912405585307817, -0.45461620242812095, -0.2958183289651442],
 [0.09380161291851774, -0.16493497888967962, -0.596382306210903, -0.10243825529379365],
 [-0.17941447350062156, 0.3017358013047477, -0.8323942647358472, -0.3500895188449757]]

Layer 1 (3 neurons, each with 4 inputs):

[[0.5756955047435851, 0.9286655036156559, -0.7555897788441829],
 [0.3224237554463892, -0.4903039426093109, -0.42842657735804496],
 [-0.43593959162782675, -0.21125396458119716, 0.498219913456681],
 [0.3562106354382839, 0.029572121609519948, -0.1816554392409587]]

Epoch 0: 33.33333333333333
Epoch 1: 33.33333333333333
Epoch 2: 33.33333333333333
Epoch 3: 33.33333333333333
Epoch 4: 33.33333333333333
Epoch 5: 33.33333333333333
Epoch 6: 33.33333333333333
Epoch 7: 33.33333333333333
Epoch 8: 33.33333333333333
Epoch 9: 33.33333333333333
Epoch 10: 33.33333333333333
Epoch 11: 33.33333333333333
Epoch 12: 33.33333333333333
Epoch 13: 33.33333333333333
Epoch 14: 33.33333333333333
Epoch 15: 33.33333333333333
Epoch 16: 33.33333333333333
Epoch 17: 33.33333333333333
Epoch 18: 33.33333333333333
Epoch 19: 33.33333333333333
Epoch 20: 33.33333333333333
Epoch 21: 33.33333333333333
Epoch 22: 33.33333333333333
Epoch 23: 33.33333333333333
Epoch 24: 33.33333333333333
Epoch 25: 33.33333333333333
Epoch 26: 50.0
Epoch 27: 50.0
Epoch 28: 50.0
Epoch 29: 50.0
Epoch 30: 50.0
Epoch 31: 50.0
Epoch 32: 66.66666666666666
Epoch 33: 66.66666666666666
Epoch 34: 66.66666666666666
Epoch 35: 66.66666666666666
Epoch 36: 66.66666666666666
Epoch 37: 66.66666666666666
Epoch 38: 83.33333333333334
Epoch 39: 83.33333333333334
Epoch 40: 83.33333333333334
Epoch 41: 83.33333333333334
Epoch 42: 83.33333333333334
Epoch 43: 83.33333333333334
Epoch 44: 83.33333333333334
Epoch 45: 83.33333333333334
Epoch 46: 83.33333333333334
Epoch 47: 83.33333333333334
Epoch 48: 83.33333333333334
Epoch 49: 83.33333333333334
Epoch 50: 83.33333333333334
Epoch 51: 83.33333333333334
Epoch 52: 83.33333333333334
Epoch 53: 83.33333333333334
Epoch 54: 83.33333333333334
Epoch 55: 83.33333333333334
Epoch 56: 66.66666666666666
Epoch 57: 66.66666666666666
Epoch 58: 66.66666666666666
Epoch 59: 66.66666666666666
Epoch 60: 66.66666666666666
Epoch 61: 66.66666666666666
Epoch 62: 83.33333333333334
Epoch 63: 83.33333333333334
Epoch 64: 83.33333333333334
Epoch 65: 83.33333333333334
Epoch 66: 83.33333333333334
Epoch 67: 83.33333333333334
Epoch 68: 83.33333333333334
Epoch 69: 83.33333333333334
Epoch 70: 83.33333333333334
Epoch 71: 83.33333333333334
Epoch 72: 83.33333333333334
Epoch 73: 83.33333333333334
Epoch 74: 83.33333333333334
Epoch 75: 83.33333333333334
Epoch 76: 66.66666666666666
Epoch 77: 66.66666666666666
Epoch 78: 83.33333333333334
